,nature,type,id,description,cwe_counts
0,CanFollow,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),9
1,CanFollow,base,73,External Control of File Name or Path,7406
2,CanFollow,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),4
3,CanFollow,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),6
4,CanFollow,base,128,Wrap-around Error,231
5,CanFollow,base,131,Incorrect Calculation of Buffer Size,231
6,CanFollow,base,170,Improper Null Termination,100
7,CanFollow,base,183,Permissive List of Allowed Inputs,13
8,CanFollow,base,184,Incomplete List of Disallowed Inputs,538
9,CanFollow,base,190,Integer Overflow or Wraparound,231
10,CanFollow,base,193,Off-by-one Error,730
11,CanFollow,base,208,Observable Timing Discrepancy,31
12,CanFollow,base,212,Improper Removal of Sensitive Information Before Storage or Transfer,7
13,CanFollow,base,226,Sensitive Information in Resource Not Removed Before Reuse,7
14,CanFollow,base,252,Unchecked Return Value,376
15,CanFollow,base,363,Race Condition Enabling Link Following,41
16,CanFollow,base,364,Signal Handler Race Condition,78
17,CanFollow,base,390,Detection of Error Condition Without Action,22
18,CanFollow,base,425,Direct Request ('Forced Browsing'),3
19,CanFollow,base,489,Active Debug Code,6
20,CanFollow,base,606,Unchecked Input for Loop Condition,18
21,CanFollow,base,609,Double-Checked Locking,34
22,CanFollow,base,613,Insufficient Session Expiration,17
23,CanFollow,base,681,Incorrect Conversion between Numeric Types,8
24,CanFollow,base,756,Missing Custom Error Page,110
25,CanFollow,base,822,Untrusted Pointer Dereference,725
26,CanFollow,base,823,Use of Out-of-range Pointer Offset,725
27,CanFollow,base,824,Access of Uninitialized Pointer,725
28,CanFollow,base,825,Expired Pointer Dereference,725
29,CanFollow,base,839,Numeric Range Comparison Without Minimum Check,239
30,CanFollow,base,843,Access of Resource Using Incompatible Type ('Type Confusion'),231
31,CanFollow,base,1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,231
32,CanFollow,base,1260,Improper Handling of Overlap Between Protected Memory Ranges,231
33,CanFollow,base,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,63
34,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,124
35,CanFollow,base,1282,Assumed-Immutable Data is Stored in Writable Memory,3
36,CanFollow,base,1284,Improper Validation of Specified Quantity in Input,130
37,CanFollow,base,1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",72
38,CanFollow,base,1325,Improperly Controlled Sequential Memory Allocation,376
39,CanFollow,base,1339,Insufficient Precision or Accuracy of a Real Number,249
40,CanFollow,class,20,Improper Input Validation,7813
41,CanFollow,class,116,Improper Encoding or Escaping of Output,23
42,CanFollow,class,172,Encoding Error,7352
43,CanFollow,class,340,Generation of Predictable Numbers or Identifiers,2
44,CanFollow,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),439
45,CanFollow,class,410,Insufficient Resource Pool,711
46,CanFollow,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),9
47,CanFollow,class,602,Client-Side Enforcement of Server-Side Security,3
48,CanFollow,class,656,Reliance on Security Through Obscurity,1
49,CanFollow,class,662,Improper Synchronization,24
50,CanFollow,class,754,Improper Check for Unusual or Exceptional Conditions,63
51,CanFollow,class,909,Missing Initialization of Resource,47
52,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),222
53,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),168
54,CanFollow,variant,129,Improper Validation of Array Index,361
55,CanFollow,variant,195,Signed to Unsigned Conversion Error,231
56,CanFollow,variant,231,Improper Handling of Extra Values,90
57,CanFollow,variant,244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),6
58,CanFollow,variant,416,Use After Free,90
59,CanFollow,variant,456,Missing Initialization of a Variable,124
60,CanFollow,variant,481,Assigning instead of Comparing,101
61,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,124
62,CanFollow,variant,499,Serializable Class Containing Sensitive Data,124
63,CanFollow,variant,600,Uncaught Exception in Servlet,110
64,CanFollow,variant,621,Variable Extraction Error,3
65,CanFollow,variant,789,Memory Allocation with Excessive Size Value,376
66,CanFollow,variant,827,Improper Control of Document Type Definition,13
67,CanFollow,variant,942,Permissive Cross-domain Security Policy with Untrusted Domains,9
68,CanFollow,variant,1275,Sensitive Cookie with Improper SameSite Attribute,13
69,CanFollow,variant,1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),3
70,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),7632
71,CanPrecede,base,41,Improper Resolution of Path Equivalence,7632
72,CanPrecede,base,59,Improper Link Resolution Before File Access ('Link Following'),7073
73,CanPrecede,base,78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),10
74,CanPrecede,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),27
75,CanPrecede,base,117,Improper Output Neutralization for Logs,9
76,CanPrecede,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),63
77,CanPrecede,base,123,Write-what-where Condition,156
78,CanPrecede,base,125,Out-of-bounds Read,85
79,CanPrecede,base,170,Improper Null Termination,13
80,CanPrecede,base,182,Collapse of Data into Unsafe Value,4
81,CanPrecede,base,215,Insertion of Sensitive Information Into Debugging Code,6
82,CanPrecede,base,289,Authentication Bypass by Alternate Name,10
83,CanPrecede,base,385,Covert Timing Channel,28
84,CanPrecede,base,434,Unrestricted Upload of File with Dangerous Type,7083
85,CanPrecede,base,471,Modification of Assumed-Immutable Data (MAID),5
86,CanPrecede,base,476,NULL Pointer Dereference,156
87,CanPrecede,base,494,Download of Code Without Integrity Check,168
88,CanPrecede,base,617,Reachable Assertion,5
89,CanPrecede,base,619,Dangling Database Cursor ('Cursor Injection'),67
90,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,559
91,CanPrecede,base,787,Out-of-bounds Write,85
92,CanPrecede,base,804,Guessable CAPTCHA,4
93,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),735
94,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,966
95,CanPrecede,class,287,Improper Authentication,4
96,CanPrecede,class,327,Use of a Broken or Risky Cryptographic Algorithm,28
97,CanPrecede,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),8
98,CanPrecede,class,400,Uncontrolled Resource Consumption,4
99,CanPrecede,class,668,Exposure of Resource to Wrong Sphere,7360
100,CanPrecede,composite,352,Cross-Site Request Forgery (CSRF),1
101,CanPrecede,pillar,682,Incorrect Calculation,40
102,CanPrecede,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),7084
103,CanPrecede,variant,187,Partial String Comparison,4
104,CanPrecede,variant,416,Use After Free,82
105,CanPrecede,variant,433,Unparsed Raw Web Content Delivery,10
106,CanPrecede,variant,789,Memory Allocation with Excessive Size Value,68
107,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),42387
108,ChildOf,base,23,Relative Path Traversal,29
109,ChildOf,base,59,Improper Link Resolution Before File Access ('Link Following'),10
110,ChildOf,base,66,Improper Handling of File Names that Identify Virtual Resources,30
111,ChildOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),4
112,ChildOf,base,91,XML Injection (aka Blind XPath Injection),1
113,ChildOf,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),17
114,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),169
115,ChildOf,base,125,Out-of-bounds Read,10
116,ChildOf,base,179,Incorrect Behavior Order: Early Validation,5
