,nature,type,id,description,cwe_counts,cwe_id
0,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,2,502
1,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,2,502
2,MemberOf,category,399,Resource Management Errors,2,502
3,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,2,502
4,MemberOf,category,1019,Validate Inputs,2,502
5,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),2,502
6,MemberOf,view,884,CWE Cross-section,2,502
7,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,2,502
8,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,2,502
9,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),2,502
10,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,2,502
11,MemberOf,category,1308,CISQ Quality Measures - Security,2,502
12,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,2,502
13,MemberOf,view,1340,CISQ Data Protection Measures,2,502
14,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,2,502
15,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,2,502
16,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,2,502
17,MemberOf,category,1415,Comprehensive Categorization: Resource Control,2,502
18,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,2,502
19,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,2,502
20,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,2,502
21,MemberOf,category,1443,OWASP Top Ten 2025 Category A08:2025 - Software or Data Integrity Failures,2,502
22,MemberOf,category,1447,General Software Weaknesses that Appear in Products that Use or Support AI/ML Technology,2,502
23,Self,base,502,,2,502
0,ChildOf,pillar,682,Incorrect Calculation,1,190
1,ParentOf,chain,680,Integer Overflow to Buffer Overflow,1,190
2,PeerOf,base,128,Wrap-around Error,1,190
3,PeerOf,base,1339,Insufficient Precision or Accuracy of a Real Number,1,190
4,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,190
5,MemberOf,category,189,Numeric Errors,1,190
6,ChildOf,pillar,682,Incorrect Calculation,1,190
7,ChildOf,class,20,Improper Input Validation,1,190
8,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),1,190
9,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),1,190
10,MemberOf,category,802,2010 Top 25 - Risky Resource Management,1,190
11,MemberOf,category,865,2011 Top 25 - Risky Resource Management,1,190
12,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),1,190
13,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),1,190
14,MemberOf,view,884,CWE Cross-section,1,190
15,MemberOf,category,998,SFP Secondary Cluster: Glitch in Computation,1,190
16,MemberOf,category,1137,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 03. Numeric Types and Operations (NUM),1,190
17,MemberOf,category,1158,SEI CERT C Coding Standard - Guidelines 04. Integers (INT),1,190
18,MemberOf,category,1162,SEI CERT C Coding Standard - Guidelines 08. Memory Management (MEM),1,190
19,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,190
20,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,190
21,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,190
22,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,190
23,MemberOf,category,1408,Comprehensive Categorization: Incorrect Calculation,1,190
24,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,190
25,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,190
26,Self,base,190,,1,190
0,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,4,502
